generation,mtm,machinetype,model,name,codename,announcement,ga,wdfm,lifecycle,smlink,eos,alldates,mtmname
P5,9114-275,9114,275,IntelliStation 275 WS,E4 WS,24/06/2003,25/07/2003,31/05/2006,34,,31/01/2016,Announced: 24/06/2003; Generally Available: 25/07/2003; Withdrawn: 31/05/2006; End of Support: 31/01/2016,9114-275 - IntelliStation 275 WS
P5,9111-285,9111,285,IntelliStation 285 WS,SF2 WS,04/10/2005,14/10/2005,02/01/2009,38,,31/01/2018,Announced: 4/10/2005; Generally Available: 14/10/2005; Withdrawn: 2/01/2009; End of Support: 31/01/2018,9111-285 - IntelliStation 285 WS
P5,7047-185,7047,185,IntelliStation 185 (ATX),ATX WS,14/02/2006,24/02/2006,02/01/2009,34,,30/06/2017,Announced: 14/02/2006; Generally Available: 24/02/2006; Withdrawn: 2/01/2009; End of Support: 30/06/2017,7047-185 - IntelliStation 185 (ATX)
P5,7037-A50,7037,A50,p5-185,ATX,14/02/2006,24/02/2006,18/05/2007,14,,31/12/2014,Announced: 14/02/2006; Generally Available: 24/02/2006; Withdrawn: 18/05/2007; End of Support: 31/12/2014,7037-A50 - p5-185
P5,8842-42X,8842,42X,JS20+ Blade,Blades,28/06/2005,08/07/2005,30/06/2006,11,,31/01/2016,Announced: 28/06/2005; Generally Available: 8/07/2005; Withdrawn: 30/06/2006; End of Support: 31/01/2016,8842-42X - JS20+ Blade
P5,8842-4TX,8842,4TX,JS20 Telco Blade,Blades,28/06/2005,08/07/2005,30/06/2006,11,,31/01/2016,Announced: 28/06/2005; Generally Available: 8/07/2005; Withdrawn: 30/06/2006; End of Support: 31/01/2016,8842-4TX - JS20 Telco Blade
P5,8842-RTX,8842,RTX,JS20 Telco/R Blade,Blades,25/04/2006,19/05/2006,03/07/2007,13,,31/01/2016,Announced: 25/04/2006; Generally Available: 19/05/2006; Withdrawn: 3/07/2007; End of Support: 31/01/2016,8842-RTX - JS20 Telco/R Blade
P5,7988-J21,7988,J21,JS21 Blade,Maui,05/06/2007,15/06/2007,02/01/2009,18,,31/01/2018,Announced: 5/06/2007; Generally Available: 15/06/2007; Withdrawn: 2/01/2009; End of Support: 31/01/2018,7988-J21 - JS21 Blade
P5,9123-710,9123,710,OpenPower 710,,25/01/2005,18/02/2005,31/05/2006,15,,31/12/2014,Announced: 25/01/2005; Generally Available: 18/02/2005; Withdrawn: 31/05/2006; End of Support: 31/12/2014,9123-710 - OpenPower 710
P5,9124-720,9124,720,OpenPower 720,,14/09/2004,24/09/2004,31/05/2006,20,,31/01/2016,Announced: 14/09/2004; Generally Available: 24/09/2004; Withdrawn: 31/05/2006; End of Support: 31/01/2016,9124-720 - OpenPower 720
